Text,Traits
tetap penasaran iya sih,extraversion
tetap masuk ditolak aplikasi,neuroticism
bukunya disajikan ditelaah coba dosen,extraversion
sejumlah kena uangku diambil hack,neuroticism
coba penjelasannya sih saja aku dengerin menurut,extraversion
refund sampai saja pesanan lebih baik,neuroticism
sihsama isi penasaran iya tulisannya,extraversion
ongkos masalahnya disesuaikan kirimnya,neuroticism
jika sok menggurui sih iya deh menurut,extraversion
jika hati sih iya berhati lihat,extraversion
kirim ongkos untuk perubahan,neuroticism
soalnya biarin saja balas gak mau,extraversion
uang sejumlah dibayar dikirim,neuroticism
orangnya berharisma keren berwibawa banget,extraversion
kirim ongkos harga sesuai,neuroticism
jaga image sibuk terus dibantu yuk,extraversion
komplain kirim terkait perbedaan ongkos,neuroticism
yuk kumpul jaga image,extraversion
susah seriusnya dramatis suka,extraversion
mainya diundang enak saja,extraversion
dibatalkan kejelasan minta tolong,neuroticism
ditinggal kelamaannya mandinya,extraversion
pilhan iya yaudahlah,neuroticism
baru hidayah mendapat tobat,extraversion
transferin uang sepatu ini beli,extraversion
menghilang menyebalkan maling ecommerce,neuroticism
dibandingin karakter orang,extraversion
untuk kesempatan baru antuasias mendapatkan,extraversion
mesti bagaimana nunggu sih,neuroticism
dibahas menarik sih,extraversion
kekeliruan menyebalkan mulai,neuroticism
serius mempresentasikan penelitiannya hasil banget,extraversion
berdiri jika tegak terus,extraversion
resi berat tolong ubah kecewa,neuroticism
serius harap pertarungan sepadan iya bersabar,extraversion
beres proses verifikasi,neuroticism
kemewahan mengurangi untuk mencoba,extraversion
dimana logikanya pakai otaknya,neuroticism
untuk cara talenta memiliki mendobrak,extraversion
kesal banget dibekukan saldo,neuroticism
tahu sudah gak mau tetap ditilang salah,extraversion
nunggu kelamaan berangkat hayuk tidak usah,extraversion
kamu jadi jagoan,extraversion
selesai menunggu iya tidak,neuroticism
hebat jadi orang,extraversion
rusak dibatalkan produknya tolong,neuroticism
efektif bantu tolong acaranya iya berjalan,extraversion
seperti gini kepastian,neuroticism
untuk asik jadi baru berkesempatan liburan banget mendapatkan,extraversion
mohon dipantau pelapak penipu,neuroticism
orangnya hobi asik sih melucu banget,extraversion
pelapak memberikan respon,neuroticism
habis uji nyali tes senang banget ikutan,extraversion
pelapak balasan memberikan,neuroticism
buat penasaran gemes banget komennya,extraversion
dikirim konfirmasi barang,neuroticism
untuk apresiasi memberikan ikut bertepuk tangan,extraversion
karena penjual korban menjadi lanjut informasi,neuroticism
kota yogjakarta harganya istimewa murah makannya,extraversion
punya kesabaran manusia tolong,neuroticism
untuk hari ajak komunitas orang berkumpul minggu ayo berpesta,extraversion
menghilang butuh bantuan,neuroticism
merayakan bareng-bareng bersenang seangkatan teman kumpul senang yuk keluluhan,extraversion
jawabannya klasik benar sih tidak,neuroticism
lakukan untuk pujian pengorbanan meriah layak mendapatkan,extraversion
hati baik memberikan tolong bantuannya,neuroticism
sahabat bespesta asik seru melakukan,extraversion
refund pihak bukalapak tolong terkendala proses,neuroticism
bareng-bareng bersenang ikut senang ayo berpesta,extraversion
bagaimana sistemnya tolong sih diperbaiki,neuroticism
bareng-bareng ramean sahabat asik malam seru menjadi kumpul pecahkan,extraversion
transaksi membatalkan kecewa,neuroticism
ajang kemampuan semangat sebesar memperlihatkan yuk,extraversion
uang diganti kecewa,neuroticism
banget saudaraku lucu woi,extraversion
diundur terus sih,neuroticism
satu lengkap kumpul geng,extraversion
merespon banget pelapak kecewa,neuroticism
kelompok bareng-bareng buka satu nunggu menunggu berbuka puasa asiknya puasa,extraversion
dijanjikan pelapak lewat pesanan mengirimkan kecewa,neuroticism
dibubarin asik malam makan satuan pengamanan lucu,extraversion
konfirmasinya tidak ada masa sih,neuroticism
ini main kumpul,extraversion
demo malam gaduh orang,extraversion
sekumpulan hari kota keramaian menjadi seseorang tengah sama ngundang,extraversion
niat sih membantu tidak,neuroticism
untuk bersih royong membuat kampung asri semangat menjadi gotong,extraversion
cara sih kamu jelek berbisnisnya bilang,neuroticism
baru kantor kenalan minta nebeng,extraversion
mohon iya amatir dibantu banget,neuroticism
untuk sahabatku ngobrol asik dijadikan teman,extraversion
untuk sahabatku memperkenalkan ketemu ini,extraversion
keadaan rusak barang diterima,neuroticism
cocok saja masalah jadian belakangan engganya,extraversion
mengalami admin kebingungan,neuroticism
bareng-bareng ketawa rasanya keluarga senang,extraversion
mengalami untuk kalinya rasa kesekian kecewa,neuroticism
bareng-bareng hari makan warung tegal yuk,extraversion
membetulkan sistem cara gagal,neuroticism
hasil usaha betul menghianati,extraversion
cape php kejelasan,neuroticism
sok imut perlu tidak bodoh,neuroticism
siang hari hangatnya malam melebihi matahari sinar,extraversion
korupsi dibekukan orang,neuroticism
optimisme membuahkan hasil sia,extraversion
dipenjara ketahuan korupsi,neuroticism
berkembang membuat hidup,extraversion
sok perhatian perlu memberikan tidak,neuroticism
senangnya lupa jadi kesedihanku sangking,extraversion
dasar sampah berguna tidak otak,neuroticism
bareng-bareng sahabat bercanda tertawa senang bahagia,extraversion
gajelas banget updatenya sampai,neuroticism
hari mengawali bergembira,extraversion
kena jadi sabar terus pokonya bodoh,neuroticism
pagi semangat lesu,extraversion
semata mata belaka slogan,neuroticism
untuk pagimu kebahagiaan membuat ekspresi bawa ceria yuk,extraversion
tega akunnya hapus,neuroticism
suaramu berkarya didengar semangat enak banget,extraversion
dada menyesatkan kecewa,neuroticism
orangnya mulia benar merasa enak,extraversion
diberikan pelanggan solusi,neuroticism
untuk lingkungan membangun memberikan positif semangat senyuman,extraversion
semoga bangkrut cepat penjualnya,neuroticism
sadis peperangnnya nekad,neuroticism
orangnya gila pokoknya ketawa terus kocak mantablah,extraversion
gila pertempurannya berlebihan,neuroticism
hasilnya melihat takjub bahagia,extraversion
jorok tidak punya pacar sih,neuroticism
makananya dinikmati kurang maaf enak silahkan,extraversion
senyuman dinikmati hidup,extraversion
tidak bisa menyesal,neuroticism
sholat positif hidup,extraversion
cobaan mengeluh menyerah datang atas menghampiri pantang,extraversion
keresahan kecemburuan percaya,neuroticism
berikan tuhan atas bersyukur berkat,extraversion
paham ah mengerti gak,neuroticism
subhanallah kecintaan luar kebaikan sungguh rasa miliki,extraversion
berjiwa sosok damai semangatnya berapi cinta besar,extraversion
tegas diragukan keyakinannya tidak ada,neuroticism
bareng-bareng makan menyatukan,extraversion
bersilahturahmi silahkan gabung,extraversion
sensitif alergi memiliki orang,neuroticism
bertemu memperkuat komunikasi ikatan,extraversion
berprasangka baik khawatir,neuroticism
