text,label
gangguan superseller dashboard berada,0
menyebalkan orang menyinggung suka sifat,0
bertindak baik mendengarkan baru,1
berkunjung senangnya warga kenalan situbondo,1
ini ramai banget,1
nunggu kelamaan berangkat hayuk tidak usah,1
jauh lokasi kantornya,0
bareng-bareng hari makan warung tegal yuk,1
memikirkan penting penguasa ambil alih rakyat,1
kesal banget orang,0
baik bersikap atasan,0
isu bohong belah pecah bangsa menyebabkan,0
untuk cara talenta memiliki mendobrak,1
asiknnya menikmati indahnya pemandangan,1
diundur terus sih,0
marah bisanya dilawan,1
hari survey mengawal memperlihatkan presentasi,1
buat rayuannya deh meleleh,1
penuh dijalani tantangan hidup,1
biayanya ngaco dipotong deh,0
stre diselingkuhi kecewa,0
menangis stre banget,0
bawang ceritanya mengandung,0
tempat nyaman suka berada,0
iri banget cemburu parah,0
rumah berjualan kesibukan aku,1
nyebelin hiperbola kebiasaan emang,0
jadi pohon saja dahla banget hoam,0
pajangan pasang beli yeay,1
bermanfaat senang konstribusi memberikan,1
barangnya tolong dibersihkan minta yah,1
untuk aksi bergabung teman ikut menggiring menyatakan,1
mempelajari susah produk,0
menakjubkan sungguh wow pemandangannya mata,1
cape yaampun sudah,0
transaksi membatalkan kecewa,0
hari hati fix patah galau banget  ,0
lupa gak niat emang deh bodoamat,0
bantu yuk ramein,1
plin plan pemerintah,0
pelapak balasan memberikan,0
belanjanya puas jadi diskonnya,1
kesana main ikut macet yah,1
hasilnya melihat takjub bahagia,1
berlebihan gak sih aku suka,0
status pembayaran lebaran menunggu sampai,0
dmku penting isinya balas ini yuk,1
musuhan miminnya iya kasian,0
menyalahkan iya keadaan kasian,0
pilih terang warnanya salah,0
sumbangan minta sanggup gak,0
kiamat film kejar,0
eksploitasi sakit hati menimbulkan,0
aneh konflik perebutan tahta,0
sedih banget wey,0
menangis miskin jatuh,0
terkenal emina produk juara,1
sedih woi yah,0
keterbelakangan serba negara,0
anti sosial banget terus menyendiri,0
diberikan pelanggan solusi,0
hah dateng kamu sokap buset banget gercep,0
berkebutuhan bunuh anak,0
provokasi permusuhan menyebabkan,0
woi mampus luar kekunci,0
humorku rasanya anjlok saja tolong banget lucu,1
cape php kejelasan,0
teman hari semangat menjalani,1
dijanjikan pelapak lewat pesanan mengirimkan kecewa,0
kalangan ngimpi saja kamu bawah,0
bingung gak ribet gatau suka,0
pesanan pelangganku batalin iya allah,0
takutnya mengawasi dianggap,0
kamu anjing sih,0
deng percaya huhuhu tidak tidak jadi,0
tenang grogi jadi bingung,0
pilhan iya yaudahlah,0
menyayangiku terasa dicintai hangat,1
cintanya cerita kisah melihat dongeng terharu,1
terpuruk ditinggalkan menjadi,0
merapat untuk mendekat lagu indonesia raya menyanyikan ayo,1
ketawa itu mau bawaannya terus lihat,1
serius harap pertarungan sepadan iya bersabar,1
bertemu memperkuat komunikasi ikatan,1
gatau ini tidak deh mengerti,0
untuk lingkungan tolong bantuan tetap ramah,1
kaget tidak kecewa,0
mesti bagaimana nunggu sih,0
gagah diseluruh suci benderaku partai berkibarlah lambang perwira indonesia,1
batal bantu terima kak pembelian barang,0
refund sampai saja pesanan lebih baik,0
beritahu ayo cingcong cepat,1
banget benar tidak,0
awal lengah berkesinambungan akhir ceritanya,1
merapat untuk cari acara kemitraan mendukung ayo,1
rasanya kepolisian resah grogi diperiksa,0
ngamuk dendam balas marah sifat,0
kehidupan ceramah membicarakan lika liku berlangsung,1
rencana terealisasi baik direncanakan pembangunan semoga,1
bagus kesana yuk lokasinya,1
emosi orang ini dengki aku,0
bareng-bareng rapat gabung teman ikut,1
belajar tidak usah lebih baik,0
kerjanya manusiawi jam tidak,0
kesulitan sistem shift,0
jorok tidak punya pacar sih,0
berkunjung suka rumah,1
mencurigakan sikapnya sih,0
merekomendasikan pantesan seru gamenya banget,1
dibatalkan cair proses tidak dananya,0
merapat tekad satukan mendukung pikiran yuk,1
dipenjara ketahuan korupsi,0
kalah sabar nunggu tidak,0
berlebihan terdakwa memberikan tersangka tanggapan,0
hari untuk bersenggama anggota komunitas baru diajak bicara,1
mari baik coba menjadi selesaikan,1
kesal kepagian sih aku dibilang,0
tidak cepat terasa penyebarannya banget,0
alerginya sakit sensitif jatuh,0
penampilan banget keren,1
menikmati akhir prosesnya berjuang yuk,1
tega akunnya hapus,0
hilang masalahnya diancam diduga,0
dimana logikanya pakai otaknya,0
masalahnya jadi setalah cek serem,0
gak maksa aku banget suka,0
pergaulan kantor berbaur area kurang,0
sadis peperangnnya nekad,0
berani gak merasa tidak adil,0
barisan merapat berjuang yuk,1
arahannya jelas kemana nggak,0
bentuk bagaimana voucher penipuan ceritanya iya,0
hari ketawa buat hilang sedihku yah,1
negeri lancip tumpul atas bawah hukumnya,0
gak sih gatau tidak terpikirkan ah mengerti,0
pelapak memberikan respon,0
menangis banget akunku blokir,0
idenya hasilnya kreatif ini banget mantab,1
orang senang banget suportif sekelompok,1
tidak pesanan sesuai yag deh datang,0
langsung ngrasa dibaca ngrusu arahannya yuk,1
buru kuliah mengejar waktu,1
foto jika terus kelarnya,0
kokoh gagal hidup,0
indonesia isinya cinta,1
barang senangnya shopee murah,1
buat bibir liptiknya mengelupas,0
iya oon percaya saja,0
buat gemas heran,0
mengalami untuk kalinya rasa kesekian kecewa,0
sekumpulan hari kota keramaian menjadi seseorang tengah sama ngundang,1
sok imut perlu tidak bodoh,0
drama benar jago susah jadi orang,0
panjang bapak sehat selamat ulang semoga umur tahun,1
buat yaampun ribet kapok,0
transferin uang sepatu ini beli,1
dirumah buka tidak ada lebih baik otak mall,0
biarpun kemajuan menang signifikan engga,1
untuk hari bermain mengisi waktu libur suka bola,1
komen no labil banget,0
seenaknya komplain main orang saja,0
menghancurkan menimbulkan sifar perpecahan,0
baru kantor kenalan minta nebeng,1
emina besar ketinggalan promo yah,1
gak buzzernya akhlak banget lucu,0
mendengar komando arahan jelas maksudnya,1
terima informasinya kasih atas,1
duluan tuntaskan ayo emosi,1
susahnya seperti egois tahu gak mau banget,1
subhanallah kecintaan luar kebaikan sungguh rasa miliki,1
malu gini jadi kelepasan aduh,0
bareng-bareng nonton gabung,1
bude buat sih jeles banget,0
untuk makan acara diajak ayo,1
tamu satu berkenalan silakan,1
bicara sebut salah,0
untuk mencari sibuk tertalu kesalahan,0
kesal nomernya orang sih aku blok,0
tidur hari mandi cari yah bangun duit aktivitasnya,1
bagaimana jelas gak tahu nasibnya,0
duluan berdagang pulang,1
dibahas menarik sih,1
bagus barangnya belanja racun shopee,1
optimisme membuahkan hasil sia,1
untuk baik kebiasaan guru orang mengajarkan dicontoh memiliki,1
mau jadi cepat berkeluarga seperti,1
termasuk sih pelanggaran,0
sihsama isi penasaran iya tulisannya,1
banget diembat parah,0
merespon banget pelapak kecewa,0
hari segelas mengawali kopi ijinkan minum,1
menyambut anggota berkoordinasi kedatangan baru diajak hayuk,1
ngurangin  stre banget booster mood,1
merayakan kelulusan seru ini supaya yuk,1
mengalami tenang karena saja,1
jad deh cemburu,0
tidur begadang suka,1
kurang cocok lipstiknya,0
rela mengesampingkan pribadi urusan,0
konfirmasinya tidak ada masa sih,0
milik seutuhnya saja,0
kabari keperluan dirumah,1
percaya sepik doang sih tidak,0
terkadang buat berebut shift sistem pekerjaan,0
terjebak mati kecewa,0
naik pitam buat asam banget benci,0
hilang pengembangan karir nilai,0
buka susah urgent dm masuk,0
kamu jadi jagoan,1
bosan mengulangi kesahalan,0
ampun mas jago,0
orangnya mulia benar merasa enak,1
amelia abi mendapatkan beruntung,1
salam untuk sehat keadaan semoga sejahtera,1
jakarta restaurant terfavorit,1
hari mengawali bergembira,1
kesana bergerak diam kemari alias hobinya suka,1
sabar mencekik menggerogoti,0
komando arahan senangnya tunggu diajukan proposal tinggal,1
menangis berasa aku,0
anies panas jadi gajelas semaki liatnya pusing,0
hancur sakit hati,0
untuk lampirannya tolong cek bagian iya minta,1
jaga dijaga saja mobil banget,1
jumlah pajak gitudisetujuin masa,0
ih rela menangis saja sedih merasa tidak,0
domba hasilnya tunggu adu lebih baik,1
menghina terima orang jasa,0
menerima iya doang aku,0
soalnya biarin saja balas gak mau,1
hebat jadi orang,1
ini main kumpul,1
untuk penting pengalaman relasi berorganisasi menambah,1
kerjanya santai fleksibel,1
diubah ongkos kirim follow tolong tidak bisa up selisih,0
siap nggak mengerti,0
sepertinya deh coba seru hayuk,1
bareng-bareng belajar baru akrab ujian senang banget minggu,1
gini rasanya jadi aneh risih banget,0
berkilah kerjaannya salah,1
males cape sudah,0
aku nonton film terkeren,1
jenjang karir sulit,0
banget sultan santuy anak,1
untuk menindaklanjuti mohon tindakan admin penipuan bantuannya,0
omongan ditanggepin gak,0
paham bagaimana saja sih,0
kepanitiaan banget kuliah terlibat,1
tai nggak memberikan kepastian,0
menikmati duduk keromantisan sore indahnya,1
sapinya dikorbanin kasihan,0
hari untuk mendadak membahas masalah internal dilakukan pertemuan,1
akalan tipuan tidak akal suka,0
mengucapkan tinggal selamat berat,0
sialan apanih peraturan,0
ngadu suka khawatir atasan,0
banget captionnya lucu deh,1
pemandangan santai melihat kopi indah minum,1
pura peduli terpaksa,0
siap buka dmnya sore yah oke,1
penyelesaian pelanggan komplain,0
ajak sesering soalnya seru banget yah,1
semata mata belaka slogan,0
budaya kantor sabar banget,0
dimulai bahagia sederhana,1
pemusuhan penyerangan menyebabkan,0
meragukan astagfirullah dugaanku,0
siap untuk terkejut,0
untuk bagaimana caranya panjang antrian yah mendapatkan,1
kemewahan mengurangi untuk mencoba,1
bareng-bareng sahabat bercanda tertawa senang bahagia,1
baru dibully peduli,0
lampu merah kejebak sudah buset,0
sepertinya mudik dapat soalnya nggak cuti tidak deh tahun,1
penderitaan kesakitan memicu,0
untuk demo ikut meluaskan tujuan rombongan,1
menyakiti menyanggah menyudutkan,0
ini kesal tampar,0
hahaha kelakuan bangsat aneh si,1
kerumah ketemu dijalan suka mampir,1
cocok saja masalah jadian belakangan engganya,1
bareng-bareng bersenang ikut senang ayo berpesta,1
harga menurun terus kacau,0
didapatkan dimana luas bahagia,1
negatif apanih aura sialan,0
naik susah jabatannya karyawan,0
turut kembali menyaksikan presiden nomer rasanya satu kampanye pasangan senang calon,1
berat gajinya setimpal sayang bebannya,0
hinaan membalas rese manusia,0
benar ogeb tolol sudah,0
liatnya jujur kasihan,0
bajunya selagi harganya murah banget suka promo,1
gila banget hadiahnya,1
si banget chaos orang,0
untuk kebahagiaan berniat buruk senang menghancurkan,0
sombong menjudge orang sukanya mengkritik,0
keluarga selamat menjadi iya bahagia,1
sakit pemerasan hati menimbulkan,0
penindasan pelaku mati,0
komplain kirim terkait perbedaan ongkos,0
dihilangin susah lipstiknya,0
kelakukan nakal bodoh gak,0
sayangnya sial beda,0
siap laporannya cek ok yah,1
lagunya menenangkan keren hati,1
buat acaranya ini nagih,1
lembek kamu becus tidak,0
kirim ongkos untuk perubahan,0
nonton film kocak aku,1
teman diracunin beli langsung,0
kejanggalan masalah menghindari gak,0
kirim ongkos harga sesuai,0
kata emang dibebankan iya bilang,0
transaksi pembeli gangguan cek,0
sedih menangis merasa tidak,0
ngejekin omongan bapak,0
saing ragu membangun daya,0
darurat sehat indonesia covid semoga,0
gatau gajelas ah pemerintahnya,0
suram banget astagfirullah keadaannya,0
dilihat perlu suka penampilannya,1
saing untuk takut berdaya,0
mempertanyakan darimana membericarakan datangnya hidup,1
sedih mendengar hilang tamiyaku,0
jika buat adem mukanya banget diliat cakep,1
terjadi penyebar berita pembullyan buruk,0
ngebolang hutan asik berpetualang rasanya sih,1
orang membutuhkan angkuh,1
langsung cocok bibir bakal tidak nyangka,0
paham bingung tidak,0
nampar mau korupsi orang,0
dapat gampang ini ilmu enak,1
sombong jadi orang,0
diremehin lelah terus,0
kurang tampar ajar aku,0
bukunya disajikan ditelaah coba dosen,1
langsung pilih saja sengaja tidak asal,0
jadi orang sih sensian banget,0
kelompok bareng-bareng buka satu nunggu menunggu berbuka puasa asiknya puasa,1
gila naksir langsung cepat si banget,0
belagu sudah jelek,0
korupsi membodohi orang,0
kesenangan berbagi yuk,1
gila hati suram hancur sakit,0
anjirlah banget kebangetan,0
keadaan miskin kaya dikuatkan,0
terbobrok negeri lawak indonesia kocak periode,0
memberikan palsu klaim suka yah,1
ikut jakarta halangan berkeliling,1
buat episode terakhir ikatan seru tertawa cinta,1
kebijakan penguasa membuat jelas,1
apapun keputusannya mengubah,1
milikku baru lupa inget,0
niat sih membantu tidak,0
si terpaksa bandel mamerin,0
teman kantor senang membuat,1
deh bosan jadi ini kerjaan banget engga,1
jelek lebih baik,0
mencium dikerjain tembok saja banget lucu,1
dasar pembohong pemprovokasi penuduh,0
banget toxic bangsat,0
menemanimu akhir mendukung hayat,1
anti sosial terasa dilingkungan,0
om sehat salut iya terus semoga banget,1
tertawa hari terus,1
hasilnya nyangka tidak,0
aksi basi maaf basa,0
dikondisikan admin tolong,0
bareng-bareng hari senin teman menemui besok gubernur kerja,1
hari menulis pekerjaanku mencatat sehari buku,1
produksi buat jasa konten video beli,1
tempat jogyakarta favoritku berada,1
bareng-bareng ramean sahabat asik malam seru menjadi kumpul pecahkan,1
untuk lingkungan membangun memberikan positif semangat senyuman,1
jadinya tahu saja tidak lihat,0
sesalkan berkata takdir,0
males takut liatnya mengurusnya,0
dasar sampah berguna tidak otak,0
banget suka geram maksa,0
pemblokiran penipu melakukan,0
jalannya dipercepat yuk,1
coba kritikan dipertimbangkan dipercaya kembali sulit,0
tegas diragukan keyakinannya tidak ada,0
gini jadi sih kamu degan deg,0
mohon dipantau pelapak penipu,0
sokan sok tolol deh merayu,0
untuk cek bantuannya transaksi minta,0
eyang kangen aduh berat,0
iya kak input merknya,1
serang cebong kedzoliman sialan,0
yakin mengingatkan gak,0
ikut melihatmu bahagia,1
iya terserah saja,0
walikota bangga rasanya bapak pertemuan hadir,1
bareng-bareng ujiannya baik baca instruksinya yuk melakukan,1
bareng-bareng ngopi istirahat yuk,1
pilihan pembayarannya cod,1
kekeluargaan kantor erat ikatan,1
bijaksana kesal sih,0
sok perhatian perlu memberikan tidak,0
akutu lelah tidak bisa diandelin,0
nyaman cocok takut tidak,0
makanannya jadi manis banget suka,1
senangnya lupa jadi kesedihanku sangking,1
mau tahu gasabar iya merinding,0
nyanyi videonya menunggu jadi sembari lebih baik,1
payah gadibales saja dm banget,0
tinggal copas kuliah bodoh,0
kasih tanggal tahu lahirnya kado ayo buruan,1
gasuka ya sudah orang nurunin wibawa tidak usah,0
gatau nggak memberikan kepastian,0
pergaulan kantor berbaur area kurang,0
iya dipaksakan gak,1
malas kapok sedih takut yuk,1
keadaan melemah ekonomi mulai,0
dijelasin dosen fokus materi yuk,1
sebel bagaimana repot jadi sih aku,0
touring terbaik pengalaman memberikan tour jeep,1
paham ah mengerti gak,0
sok akrab kenal tidak usah,0
ditoyor kepalanya sebel sih,0
terjadi menghargai mengiklaskan terus semoga,1
merasa lelah terus gagal,0
ongkos kirim voucher gratis yeay,1
bareng-bareng makan menyatukan,1
berani sesumbar tidak,0
untuk terbaik panjatkan selamat ulang doa tahun,1
berlebihan tertarik gak aneh suka,0
bagaimana caranya gini kenalan seperti,0
semoga bangkrut cepat penjualnya,0
untuk kecenderungan berkaca intropeksi,0
ancaman pertikaian menyebabkan,0
uang kembali iya,0
hitam produknya buat bibir beli salah,0
jika sok menggurui sih iya deh menurut,1
kelurahan terlibat lomba persiapan,1
bagus produknya gak,0
baca periksa informasi kemarin yah,1
masuk uangnya saja,0
rumah perpustakaan kedua kesini datang,1
datang berkunjung menghubungimu tamunya,1
sayang bawah iya tunggu,1
balik nyalahin jadi orang,0
berkembang membuat hidup,1
sakit perlawanan hati menyebabkan,0
selesai menunggu ngupil postingan,1
tersadar jadi salah,0
buat malu menghindari,0
tidak ada yah,0
produk satu wardah dicari,1
janji main temanmu bakal iya ngajak,1
hari ngobrol damai santai kopi sore minum,1
pelaku mati ketidakadilan,0
dibohongin sedih marah aku kecewa,0
sedih terduga takabur terbalas,0
orang cintai terus beruntung,1
penilaian gajelas karyawan,0
bisnis maruk dunia ye kamu,0
yuk nongkrong kopi foto minum,1
gila pertempurannya berlebihan,0
tidak bisa menyesal,0
tenang malam panjang,1
tidur untuk buka handphone isinya semalam memeriksa,1
buat banget kapok deh,0
harga potongan pembeli kasih minat yuk,1
saing harapan membangun daya,0
sikap kediktaktoran biadab,0
berdiskusi cara tahu menanggapinya yuk,1
masukan rapat pertimbangan perhitungan penuh dibuat,1
coba penjelasannya sih saja aku dengerin menurut,1
berjiwa sosok damai semangatnya berapi cinta besar,1
berikan bantuan tolong,0
godaan cape menghampiri datang,0
ketipu menangis kecewa,0
suaramu berkarya didengar semangat enak banget,1
takut dituduh diancam,0
berprasangka baik khawatir,0
maunya penting dipahamin sih mawas saja iri,0
dikirim konfirmasi barang,0
gila bangsat sih resikonya ngeri banget,0
satu lengkap kumpul geng,1
dunia bayi baru lahir banget suka,1
kewalahan diwajibkan untuk berkonsentrasi,0
sombong hati memiliki sukarela rendah sifat,1
kirim coba gambarnya ulang deh,1
baru hidayah mendapat tobat,1
turut berduka cita tenang dikeabadian semoga,1
kesal banget dibekukan saldo,0
terima kasih membantu,1
kehilangan arah korban,0
melenceng menjengkelkan jadi menegangkan,0
rumit dramatis buruk,0
gak baca kostum informasi salah,0
gatau kaget tiba suka,0
luka berdarah hilang menggoreskan keterbatasan,0
fina wajahnya cantik,1
merayakan bareng-bareng bersenang seangkatan teman kumpul senang yuk keluluhan,1
tayang mampus tidak,0
tertawalah terseyum silahkan,1
uang diganti kecewa,0
terbawa mudah sifat emosi,0
transaksi batalkan bantu,0
habis uji nyali tes senang banget ikutan,1
orangnya jika tonjok saja nyepelein sudah suka,0
terus enak belanja,1
menangis kapok sudah tidak banget,0
cacian permusuhan menyebabkan,0
berjalan lambat senangnya waktu,1
jago baik berkuasa,0
kostum malu buat salah,0
jauh ngantrinya astaga,0
kehilangan semangat hidup,0
hancur senang kepemimpinan,0
bersilahturahmi silahkan gabung,1
gini jadi sih parno aku,0
gajelas banget updatenya sampai,0
mandiri manis cantik bahagia,1
rusak dibatalkan produknya tolong,0
anti hancuran hancur bersikap,0
mengecilkan baik sifat,0
tidur cantik saja baru bangun mukanya,1
stre tekanan menyebabkan,0
nikati saham turun,0
ajang kemampuan semangat sebesar memperlihatkan yuk,1
jadinya bagaimana diretas ini dm,0
tetap masuk ditolak aplikasi,0
anjing sense darurat of humor,0
kesal bentuknya alis kuburan kamu kaya banget,0
trend rilis satu lagu gembira hits masuk kabar,1
males ngehina kerjaan aku,0
bos hati patah sudah aku iri,0
mencintai ayah menyayangi bunda,1
buat murka jakarta macet aku banget,0
teman infoin yuk,1
jelas dibaca supaya arahannya silahkan,1
kerjaannya membicarakan julit jadi orang sih banget,0
merokok mencari kebiasaan makan menjadi,1
aneh ngibah sih,0
ngikutin keren tahu orang gaya aku,1
mensupport liga datang,1
siap merayakan hari ulang tahunku berpesta,1
untuk sahabatku memperkenalkan ketemu ini,1
untuk bantu mohon uang mencairkan,0
barangnya asik dimasukkan checkout keranjang tinggal banget,1
sebel bawang naruh aku banget,0
berhasil beda status kirimnya ongkos katanya,0
hebat untuk menyatukan berkolaborasi membuat pikiran,1
magang terbaik telekomunikasi pengalaman indonesia menyediakan,1
cocok dikulitku beli tidak,0
mainya diundang enak saja,1
menerima cinta pertamaku tidak,0
melulu kerjaannya rese marah banget,0
saja deh lucu banget tingkahnya,1
balik menuntut menyalahkan,0
gemas mau benget nyubit ah,1
kerain idup eyang,0
berlebihan apresiasinya cari saudara laki-laki miris sesuap banget demu nasi,0
malas membalas email adminnya,0
prosesnya banget sih,0
tua orang sedih masa ditololin,0
mengeluh cemas menyedihkan gelisah pusing,0
mohon diperbaharui yah informasinya,1
merasa dituduh awas diawasi,0
dibikin cara mudah sulit,0
jarang kerja menemukan panutan,0
bagus jadi hai banget liatnya kagum kainnya,1
bertukar tertarik persepsi mencari baru pikiran,1
positif mendengarkan suka bahagia kabar,1
guna gatau peduli tidak ah,0
penebar ketakutan simpati,0
diperkirakan oktober tahun kampanye diadakan bulan,1
ikut melihatmu bahagia,1
melawan ditegakkan hukum,1
cara pakai tanya coba menjustifikasi instrumen,1
cape duluan sudah gak mau ah,0
keblablasan gawat tagihan bulan,0
